City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Kahului,US,2021-10-20 15:06:57,20.8947,-156.47,73.85,80,1,4.61
182,Isangel,VU,2021-10-20 15:06:58,-19.55,169.2667,74.88,90,100,9.75
183,Qandala,SO,2021-10-20 15:06:58,11.472,49.8728,84.02,45,10,4.09
184,Guarapari,BR,2021-10-20 15:06:58,-20.6667,-40.4975,67.89,92,100,19.82
185,East London,ZA,2021-10-20 15:06:59,-33.0153,27.9116,70.18,69,0,20.2
186,Likasi,CD,2021-10-20 15:06:59,-10.9814,26.7333,85.95,27,92,4.27
187,Mayor Pablo Lagerenza,PY,2021-10-20 15:06:59,-19.9309,-60.7718,91.67,18,100,4.9
188,Mayumba,GA,2021-10-20 15:07:00,-3.432,10.6554,78.31,78,88,7.49
189,Yarada,IN,2021-10-20 15:07:00,17.65,83.2667,82.72,89,40,3.44
190,Jacareacanga,BR,2021-10-20 15:07:00,-6.2222,-57.7528,96.51,39,17,3.2
191,Batemans Bay,AU,2021-10-20 15:07:01,-35.7167,150.1833,60.19,94,96,6.06
192,El Rosario,MX,2021-10-20 15:07:01,24.2556,-107.1828,79.14,78,0,3.4
193,Gimbi,ET,2021-10-20 15:07:02,9.1667,35.8333,60.3,80,65,2.15
194,San Cristobal,VE,2021-10-20 15:07:02,7.7669,-72.225,77.18,43,12,4.9
195,Yaan,NG,2021-10-20 15:07:03,7.3833,8.5667,81.41,76,87,7.96
196,Naze,JP,2021-10-20 15:07:03,28.3667,129.4833,67.51,60,100,7.16
197,Port Alfred,ZA,2021-10-20 15:07:04,-33.5906,26.891,70.29,69,3,24.43
198,Saint George,US,2021-10-20 15:07:04,37.1041,-113.5841,60.35,65,1,4.61
199,Padang,ID,2021-10-20 15:07:04,-0.9492,100.3543,75.25,84,100,2.17
200,Mosquera,CO,2021-10-20 15:07:05,4.7059,-74.2302,64.49,52,40,5.75
201,Ambalavao,MG,2021-10-20 15:07:05,-21.8333,46.9333,65.55,86,98,3.15
202,Thompson,CA,2021-10-20 15:02:24,55.7435,-97.8558,31.41,71,88,7.67
203,Faanui,PF,2021-10-20 15:07:06,-16.4833,-151.75,79.83,74,82,12.53
204,Coquimbo,CL,2021-10-20 15:03:32,-29.9533,-71.3436,58.1,72,96,5.17
205,Shahrud,IR,2021-10-20 15:07:07,36.4182,54.9763,55.26,67,12,14.14
206,Itarema,BR,2021-10-20 15:07:07,-2.9248,-39.9167,86.0,60,76,12.55
207,Torbay,CA,2021-10-20 15:07:08,47.6666,-52.7314,50.29,98,100,7.67
208,Wynyard,AU,2021-10-20 15:07:08,-41.0,145.7167,53.98,83,100,16.08
209,Natal,BR,2021-10-20 15:07:08,-5.795,-35.2094,88.45,58,40,13.8
210,Kimbe,PG,2021-10-20 15:07:09,-5.5502,150.1429,75.81,93,76,2.44
211,Tilichiki,RU,2021-10-20 15:07:09,60.4667,166.1,5.0,89,94,5.46
212,Meulaboh,ID,2021-10-20 15:07:10,4.1363,96.1285,76.5,85,100,4.12
213,Cumana,VE,2021-10-20 15:07:10,10.4635,-64.1775,84.78,64,100,2.95
214,Bud,US,2021-10-20 15:07:10,39.447,-86.1758,62.69,78,4,9.26
215,Saint-Francois,FR,2021-10-20 15:07:11,46.4154,3.9054,71.04,62,0,11.5
216,Half Moon Bay,US,2021-10-20 15:07:11,37.4636,-122.4286,61.88,84,90,1.01
217,Dicabisagan,PH,2021-10-20 15:07:11,17.0818,122.4157,77.11,86,60,2.42
218,Kaniama,CD,2021-10-20 15:07:12,-7.5667,24.1833,78.01,74,84,2.44
219,Baiyin,CN,2021-10-20 15:07:12,36.5583,104.2081,44.04,49,50,3.49
220,Rabat,MA,2021-10-20 15:07:12,33.9911,-6.8401,83.05,81,74,8.05
221,Hearst,CA,2021-10-20 15:07:13,49.6835,-83.6665,37.02,71,83,6.82
222,Chiang Klang,TH,2021-10-20 15:07:13,19.2938,100.8617,74.62,93,93,1.07
223,Vao,NC,2021-10-20 15:07:13,-22.6667,167.4833,70.41,93,100,18.63
224,Yakeshi,CN,2021-10-20 15:07:14,49.2833,120.7333,26.02,92,100,1.32
225,Viedma,AR,2021-10-20 15:07:14,-40.8135,-62.9967,82.09,18,0,18.45
226,Hambantota,LK,2021-10-20 15:07:15,6.1241,81.1185,79.14,100,20,4.61
227,Lubartow,PL,2021-10-20 15:07:15,51.4603,22.6095,63.66,61,100,18.75
228,Tortoli,IT,2021-10-20 15:07:15,39.9256,9.6572,68.83,60,11,9.93
229,Yingcheng,CN,2021-10-20 15:07:16,30.95,113.55,49.84,91,100,7.25
230,Narsaq,GL,2021-10-20 15:07:16,60.9167,-46.05,35.82,31,0,3.67
231,Hofn,IS,2021-10-20 15:07:16,64.2539,-15.2082,35.65,60,4,26.78
232,Bemidji,US,2021-10-20 15:07:17,47.4736,-94.8803,43.92,85,90,13.8
233,Verkhnevilyuysk,RU,2021-10-20 15:07:17,63.4453,120.3167,25.65,95,39,6.08
234,Okha,RU,2021-10-20 15:07:17,53.5739,142.9478,29.66,85,98,8.16
235,Bambanglipuro,ID,2021-10-20 15:07:18,-7.95,110.2833,78.42,88,93,5.21
236,Lompoc,US,2021-10-20 15:07:18,34.6391,-120.4579,55.53,93,1,8.05
237,Acapulco,MX,2021-10-20 15:05:39,16.8634,-99.8901,82.22,74,75,4.61
238,Moree,AU,2021-10-20 15:07:19,-29.4667,149.85,51.82,76,2,6.91
239,Severo-Kurilsk,RU,2021-10-20 15:07:19,50.6789,156.125,35.55,71,64,23.26
240,Green River,US,2021-10-20 15:06:26,41.5286,-109.4662,36.19,70,100,3.09
241,Kidal,ML,2021-10-20 15:07:20,18.4411,1.4078,98.33,9,23,11.21
242,Roma,US,2021-10-20 15:04:03,43.2128,-75.4557,69.66,76,20,9.22
243,Gornyy,RU,2021-10-20 15:07:20,55.1153,83.9059,41.32,76,54,8.21
244,Juneau,US,2021-10-20 15:07:20,58.3019,-134.4197,43.21,96,90,0.0
245,Xuddur,SO,2021-10-20 15:07:21,4.1213,43.8894,74.01,81,96,8.99
246,Murray Bridge,AU,2021-10-20 15:07:21,-35.1167,139.2667,64.69,74,100,2.77
247,Rovaniemi,FI,2021-10-20 15:07:21,66.5,25.7167,29.61,93,90,17.27
248,Nishihara,JP,2021-10-20 15:07:22,26.1842,127.7558,74.48,74,90,3.44
249,Dzhebariki-Khaya,RU,2021-10-20 15:07:22,62.2167,135.8,19.58,96,100,3.0
250,Krasnovishersk,RU,2021-10-20 15:07:22,60.4078,57.082,30.54,93,78,4.05
251,Diebougou,BF,2021-10-20 15:07:23,10.9667,-3.25,88.52,50,99,5.39
252,Cayenne,GF,2021-10-20 15:07:23,4.9333,-52.3333,89.64,76,75,1.99
253,Baruun-Urt,MN,2021-10-20 15:07:24,46.6806,113.2792,33.01,58,14,5.37
254,Asfi,MA,2021-10-20 15:05:39,32.2994,-9.2372,73.0,72,77,10.22
255,Nantucket,US,2021-10-20 15:03:47,41.2835,-70.0995,68.14,73,5,18.01
256,Shumskiy,RU,2021-10-20 15:07:24,54.8318,99.1328,33.93,81,10,4.27
257,Tommot,RU,2021-10-20 15:07:25,58.9564,126.2925,32.65,94,100,10.47
258,Mpulungu,ZM,2021-10-20 15:07:25,-8.7623,31.1141,80.58,56,42,1.05
259,Mahajanga,MG,2021-10-20 15:07:25,-15.7167,46.3167,80.62,74,20,10.36
260,Diu,IN,2021-10-20 15:07:26,20.7141,70.9822,78.35,67,7,7.58
261,Fortuna Foothills,US,2021-10-20 15:07:26,32.6578,-114.4119,64.22,40,1,0.0
262,Neiafu,TO,2021-10-20 15:07:26,-18.65,-173.9833,72.28,78,20,4.61
263,Tenenkou,ML,2021-10-20 15:07:27,14.4572,-4.9169,94.95,35,90,4.92
264,Namatanai,PG,2021-10-20 15:07:27,-3.6667,152.4333,79.32,81,45,2.71
265,Yauya,PE,2021-10-20 15:07:27,-8.9833,-77.3,53.67,66,98,1.34
266,Mecca,SA,2021-10-20 15:07:28,21.4267,39.8261,88.14,45,0,8.19
267,Tasiilaq,GL,2021-10-20 15:07:28,65.6145,-37.6368,35.76,58,77,10.87
268,Xinqing,CN,2021-10-20 15:07:29,48.2333,129.5,24.67,83,1,2.35
269,Statesville,US,2021-10-20 15:07:29,35.7826,-80.8873,70.29,54,0,2.06
270,Ferrol,ES,2021-10-20 15:07:29,43.4832,-8.2369,70.32,67,52,23.44
271,Hami,CN,2021-10-20 15:07:30,42.8,93.45,60.48,16,100,6.49
272,Boa Vista,BR,2021-10-20 15:07:30,2.8197,-60.6733,87.78,55,40,9.22
273,Husavik,IS,2021-10-20 15:07:31,66.0449,-17.3389,32.58,72,100,9.26
274,Jizan,SA,2021-10-20 15:07:03,17.3333,42.6667,89.46,54,93,10.27
275,Ossora,RU,2021-10-20 15:07:31,59.2353,163.0719,18.54,67,14,6.8
276,Asyut,EG,2021-10-20 15:07:32,27.181,31.1837,81.45,30,29,18.66
277,Umm Bab,QA,2021-10-20 15:07:32,25.2142,50.8072,91.08,60,1,11.79
278,Malinovoye Ozero,RU,2021-10-20 15:07:32,51.6753,79.7825,48.42,42,40,8.12
279,Komsomolskiy,UZ,2021-10-20 15:07:33,40.4272,71.7189,63.82,42,99,9.22
280,Vitim,RU,2021-10-20 15:07:33,59.4511,112.5578,35.46,98,100,7.38
281,Sisimiut,GL,2021-10-20 15:07:33,66.9395,-53.6735,32.29,66,100,7.58
282,Tumut,AU,2021-10-20 15:07:34,-35.3,148.2167,54.59,90,0,3.65
283,Inhambane,MZ,2021-10-20 15:07:34,-23.865,35.3833,70.25,56,0,12.12
284,Tesalia,CO,2021-10-20 15:07:34,2.4859,-75.7292,82.56,53,86,2.86
285,Whitehorse,CA,2021-10-20 15:07:35,60.7161,-135.0538,33.31,74,100,15.01
286,Texiguat,HN,2021-10-20 15:07:36,13.6497,-87.0225,84.6,84,84,3.38
287,Camacha,PT,2021-10-20 15:07:36,33.0833,-16.3333,74.62,69,20,10.36
288,Biak,ID,2021-10-20 15:07:36,-0.9131,122.8766,77.34,78,73,0.54
289,Buala,SB,2021-10-20 15:07:37,-8.145,159.5921,79.3,81,48,1.05
290,Nanortalik,GL,2021-10-20 15:07:37,60.1432,-45.2371,39.79,73,3,2.17
291,Port Blair,IN,2021-10-20 15:07:38,11.6667,92.75,81.45,82,4,6.13
292,Bakel,SN,2021-10-20 15:07:38,14.905,-12.4568,103.96,13,77,9.69
293,Touros,BR,2021-10-20 15:07:38,-5.1989,-35.4608,88.7,56,100,13.2
294,Norman Wells,CA,2021-10-20 15:07:39,65.282,-126.8329,23.23,92,88,3.58
